,Related_topics,User entered relative frequency,Relative frequency difference
society,0.0005255141577076894,0.03418803418803419,0.0336625200303265
much,0.00010243072565488862,0.02564102564102564,0.025538594915370753
little,0.00013360529433246342,0.02564102564102564,0.025507420346693177
obtain,0.0001870474120654488,0.017094017094017096,0.016906969681951645
return,0.00024048952979843414,0.017094017094017096,0.01685352756421866
church,0.008907019622164227,0.02564102564102564,0.016734006018861415
necessary,0.0004765255497857862,0.017094017094017096,0.01661749154423131
bishops,0.0006546659422290707,0.017094017094017096,0.016439351151788024
great,0.0007704571973172057,0.017094017094017096,0.01632355989669989
shall,0.0010510283154153788,0.017094017094017096,0.016042988778601715
divine,0.002115417160264004,0.017094017094017096,0.014978599933753091
augmenting,0.0,0.008547008547008548,0.008547008547008548
especial,0.0,0.008547008547008548,0.008547008547008548
magnates,0.0,0.008547008547008548,0.008547008547008548
pacificators,0.0,0.008547008547008548,0.008547008547008548
fomenting,0.0,0.008547008547008548,0.008547008547008548
ruining,0.0,0.008547008547008548,0.008547008547008548
persuade,4.453509811082114e-06,0.008547008547008548,0.008542555037197466
abbot,4.453509811082114e-06,0.008547008547008548,0.008542555037197466
prudently,4.453509811082114e-06,0.008547008547008548,0.008542555037197466
advantage,8.907019622164228e-06,0.008547008547008548,0.008538101527386384
dissensions,8.907019622164228e-06,0.008547008547008548,0.008538101527386384
conforming,1.336052943324634e-05,0.008547008547008548,0.008533648017575302
secretly,1.7814039244328455e-05,0.008547008547008548,0.00852919450776422
prophecies,1.7814039244328455e-05,0.008547008547008548,0.00852919450776422
anticipate,2.226754905541057e-05,0.008547008547008548,0.008524740997953138
perceive,2.226754905541057e-05,0.008547008547008548,0.008524740997953138
treat,3.1174568677574794e-05,0.008547008547008548,0.008515833978330972
appearance,5.344211773298536e-05,0.008547008547008548,0.008493566429275562
result,8.907019622164227e-05,0.008547008547008548,0.008457938350786906
providence,0.00021376847093194145,0.008547008547008548,0.008333240076076607
possible,0.00031619919658683007,0.008547008547008548,0.008230809350421718
reconciliation,0.00040526939280847237,0.008547008547008548,0.008141739154200075
others,0.0006591194520401528,0.008547008547008548,0.007887889094968395
means,0.0007570966678839594,0.008547008547008548,0.007789911879124588
act,0.000783817726750452,0.008547008547008548,0.0077631908202580955
power,0.0014518441984127692,0.008547008547008548,0.007095164348595778
must,0.001607717041800643,0.008547008547008548,0.006939291505207905
people,0.0019818118659315404,0.008547008547008548,0.006565196681077008
6,0.0054065609106536865,0.008547008547008548,0.0031404476363548614
